sim_time,state
9.11,PATROLLING
35.90,OBSTACLE_AVOIDANCE
39.60,PATROLLING
50.30,OBSTACLE_AVOIDANCE
51.10,BACKING_OFF
52.60,OBSTACLE_AVOIDANCE
58.70,PATROLLING
65.50,OBSTACLE_AVOIDANCE
67.40,PATROLLING
70.70,OBSTACLE_AVOIDANCE
74.90,PATROLLING
82.00,OBSTACLE_AVOIDANCE
84.30,PATROLLING
87.80,OBSTACLE_AVOIDANCE
90.20,PATROLLING
93.80,OBSTACLE_AVOIDANCE
98.60,ALERT
105.90,IDLE
